powiat	wojewodztwo	ludnosc_ogolem	wsp_urodzen	wsp_zgonow	saldo_migracji
aleksandrowski	kujawsko-pomorskie	55336	11,3	11,3	0,8
augustowski	podlaskie	58763	10,4	10,5	-1,1
bartoszycki	warminsko-mazurskie	60128	10,9	10,3	-6,1
bedzinski	slaskie	150950	9,4	13	3,1
belchatowski	lodzkie	112993	11,5	9,1	-1,6
bialobrzeski	mazowieckie	33701	15	11	-1,1
bialogardzki	zachodniopomorskie	48261	11,7	10,2	-1
bialostocki	podlaskie	139643	10,1	11,2	7,3
bialski	lubelskie	112846	11,4	12,6	-2,7
bielski	podlaskie	58463	9,6	12,7	-3,1
bielski	slaskie	155571	12	9	6,9
bierunsko-ledzinski	slaskie	56806	12,2	8,2	2,5
bieszczadzki	podkarpackie	22001	11,3	8,7	-4,2
bilgorajski	lubelskie	103226	10,5	11,1	-2,1
bochenski	malopolskie	102181	13,1	9,4	1
boleslawiecki	dolnoslaskie	89051	11	9,8	-0,1
braniewski	warminsko-mazurskie	42927	11,5	10	-5
brodnicki	kujawsko-pomorskie	75579	13,6	10	-1,3
brzeski	malopolskie	91297	11,7	8,8	0,9
brzeski	opolskie	92188	10,8	9,7	-0,5
brzezinski	lodzkie	30537	10,2	12,7	0,2
brzozowski	podkarpackie	65253	11,9	8,5	-2,1
buski	swietokrzyskie	73127	9,9	12,4	0,1
bydgoski	kujawsko-pomorskie	103010	11,5	7,8	15,1
bytowski	pomorskie	76043	13,6	7,9	-2,7
chelminski	kujawsko-pomorskie	51456	12,4	10	-2
chelmski	lubelskie	78765	11,6	13,2	-1,4
chodzieski	wielkopolskie	47389	12,1	10,1	0,1
chojnicki	pomorskie	93411	13,9	9	-0,3
choszczenski	zachodniopomorskie	49705	12,1	10,6	-2,3
chrzanowski	malopolskie	127645	9,6	10,3	0,4
ciechanowski	mazowieckie	90249	11,4	11,3	-2,6
cieszynski	slaskie	172809	11,2	10,2	2,8
czarnkowsko-trzcianecki	wielkopolskie	86939	12,9	9,5	-1,6
czestochowski	slaskie	134103	9,6	11,9	3,7
czluchowski	pomorskie	56762	11,8	8,4	-3,6
dabrowski	malopolskie	58664	10,2	9,2	-1
debicki	podkarpackie	133244	11,6	7,9	-1,1
drawski	zachodniopomorskie	57485	11,2	9,4	-3,6
dzialdowski	warminsko-mazurskie	65188	13,1	9	-3,6
dzierzoniowski	dolnoslaskie	103636	9,2	12,8	-0,6
elblaski	warminsko-mazurskie	56389	11,6	9,9	-2
elcki	warminsko-mazurskie	86238	12,1	8,3	1,3
garwolinski	mazowieckie	106927	13	10,7	-0,9
gdanski	pomorskie	93191	12,7	6,7	19,3
gizycki	warminsko-mazurskie	56522	11,3	9,8	-2,7
gliwicki	slaskie	114093	10,8	10,6	-0,1
glogowski	dolnoslaskie	87712	12,1	7,6	-3,3
glubczycki	opolskie	49422	9,3	11,7	-3,2
gnieznienski	wielkopolskie	141719	12	8,6	-0,4
goldapski	warminsko-mazurskie	26642	12,7	8,1	-3,7
goleniowski	zachodniopomorskie	79937	11,1	8,9	2,2
golubsko-dobrzynski	kujawsko-pomorskie	45281	11,9	9,8	-1,4
gorlicki	malopolskie	107017	12,2	8,8	-1,9
gorowski	dolnoslaskie	36317	10,9	11,3	-1,6
gorzowski	lubuskie	67443	12	9	5,7
